日期,单位净值,累计净值,涨跌幅
2025-03-12,1.0,1.0,--
2025-03-14,1.0037,1.0037,--
2025-03-21,0.9892,0.9892,--
2025-03-24,0.9987,0.9987,0.96
2025-03-25,0.997,0.997,-0.17
2025-03-26,0.9935,0.9935,-0.35
2025-03-27,0.9997,0.9997,0.62
2025-03-28,0.9991,0.9991,-0.06
2025-03-31,0.9983,0.9983,-0.08
2025-04-01,1.0027,1.0027,0.44
2025-04-02,1.0025,1.0025,-0.02
2025-04-03,0.9893,0.9893,-1.32
2025-04-07,0.9205,0.9205,-6.95
2025-04-08,0.9347,0.9347,1.54
2025-04-09,0.9394,0.9394,0.5
2025-04-10,0.9534,0.9534,1.49
2025-04-11,0.9552,0.9552,0.19
2025-04-14,0.9623,0.9623,0.74
2025-04-15,0.9694,0.9694,0.74
2025-04-16,0.9692,0.9692,-0.02
2025-04-17,0.9704,0.9704,0.12
2025-04-18,0.9689,0.9689,-0.15
2025-04-21,0.9754,0.9754,0.67
2025-04-22,0.974,0.974,-0.14
2025-04-23,0.9742,0.9742,0.02
2025-04-24,0.9785,0.9785,0.44
2025-04-25,0.9765,0.9765,-0.2
2025-04-28,0.9672,0.9672,-0.95
2025-04-29,0.9659,0.9659,-0.13
2025-04-30,0.9646,0.9646,-0.13
2025-05-06,0.9697,0.9697,0.53
2025-05-07,0.9757,0.9757,0.62
2025-05-08,0.9807,0.9807,0.51
2025-05-09,0.9816,0.9816,0.09
2025-05-12,0.9902,0.9902,0.88
2025-05-13,0.9916,0.9916,0.14
2025-05-14,1.0029,1.0029,1.14
2025-05-15,1.0002,1.0002,-0.27
2025-05-16,0.9953,0.9953,-0.49
2025-05-19,0.9967,0.9967,0.14
2025-05-20,1.0059,1.0059,0.92
2025-05-21,1.0102,1.0102,0.43
2025-05-22,1.0087,1.0087,-0.15
2025-05-23,1.0024,1.0024,-0.62
2025-05-26,0.9996,0.9996,-0.28
2025-05-27,0.9957,0.9957,-0.39
2025-05-28,1.0007,1.0007,0.5
2025-05-29,1.0068,1.0068,0.61
2025-05-30,1.0011,1.0011,-0.57
2025-06-03,1.0064,1.0064,0.53
2025-06-04,1.0132,1.0132,0.68
2025-06-05,1.0129,1.0129,-0.03
2025-06-06,1.0124,1.0124,-0.05
2025-06-09,1.0128,1.0128,0.04
2025-06-10,1.0102,1.0102,-0.26
2025-06-11,1.0177,1.0177,0.74
2025-06-12,1.0192,1.0192,0.15
2025-06-13,1.013,1.013,-0.61
2025-06-16,1.006,1.006,-0.69
2025-06-17,1.0022,1.0022,-0.38
2025-06-18,1.0026,1.0026,0.04
2025-06-19,0.9912,0.9912,-1.14
2025-06-20,0.9914,0.9914,0.02
2025-06-23,0.986,0.986,-0.54
2025-06-24,0.9958,0.9958,0.99
2025-06-25,1.0002,1.0002,0.44
2025-06-26,0.9948,0.9948,-0.54
2025-06-27,0.9967,0.9967,0.19
2025-06-30,1.006,1.006,0.93
2025-07-01,1.014,1.014,0.8
2025-07-02,1.015,1.015,0.1
2025-07-03,1.025,1.025,0.99
2025-07-04,1.0233,1.0233,-0.17
2025-07-07,1.0187,1.0187,-0.45
2025-07-08,1.0222,1.0222,0.34
2025-07-09,1.0178,1.0178,-0.43
2025-07-10,1.0192,1.0192,0.14
2025-07-11,1.0247,1.0247,0.54
2025-07-14,1.0239,1.0239,-0.08
2025-07-15,1.0191,1.0221,-0.18
2025-07-16,1.0206,1.0236,0.15
2025-07-17,1.0253,1.0283,0.46
2025-07-18,1.0305,1.0335,0.51
2025-07-21,1.043,1.046,1.21
2025-07-22,1.0518,1.0548,0.84
2025-07-23,1.0515,1.0545,-0.03
2025-07-24,1.0566,1.0596,0.49
2025-07-25,1.0527,1.0557,-0.37
2025-07-28,1.0449,1.0479,-0.74
2025-07-29,1.0467,1.0497,0.17
2025-07-30,1.0539,1.0569,0.69
2025-07-31,1.0333,1.0363,-1.95
2025-08-01,1.035,1.038,0.16
2025-08-04,1.0455,1.0485,1.01
2025-08-05,1.0526,1.0556,0.68
2025-08-06,1.0627,1.0657,0.96
2025-08-07,1.062,1.065,-0.07
2025-08-08,1.0655,1.0685,0.33
2025-08-11,1.0669,1.0699,0.13
2025-08-12,1.0692,1.0722,0.22
2025-08-13,1.0777,1.0807,0.79
2025-08-14,1.0722,1.0752,-0.51
2025-08-15,1.0782,1.0842,0.84
2025-08-18,1.0785,1.0845,0.03
2025-08-19,1.0733,1.0793,-0.48
2025-08-20,1.0997,1.1057,2.46
2025-08-21,1.1091,1.1151,0.85
2025-08-22,1.1123,1.1183,0.29
2025-08-25,1.1281,1.1341,1.42
2025-08-26,1.1368,1.1428,0.77
2025-08-27,1.1174,1.1234,-1.71
2025-08-28,1.1167,1.1227,-0.06
2025-08-29,1.1301,1.1361,1.2
2025-09-01,1.1418,1.1478,1.04
2025-09-02,1.1385,1.1445,-0.29
2025-09-03,1.1331,1.1391,-0.47
2025-09-04,1.1138,1.1198,-1.7
2025-09-05,1.1352,1.1412,1.92
2025-09-08,1.1493,1.1553,1.24
2025-09-09,1.1528,1.1588,0.3
2025-09-10,1.147,1.153,-0.5
2025-09-11,1.1631,1.1691,1.4
2025-09-12,1.1645,1.1705,0.12
2025-09-15,1.1563,1.1653,-0.45
2025-09-16,1.1547,1.1637,-0.14
2025-09-17,1.1691,1.1781,1.25
2025-09-18,1.1488,1.1578,-1.74
2025-09-19,1.1552,1.1642,0.56
2025-09-22,1.1472,1.1562,-0.69
2025-09-23,1.1443,1.1533,-0.25
2025-09-24,1.1615,1.1705,1.5
2025-09-25,1.1635,1.1725,0.17
2025-09-26,1.1478,1.1568,-1.35
2025-09-29,1.1603,1.1693,1.09
2025-09-30,1.1641,1.1731,0.33
2025-10-09,1.1789,1.1879,1.27
2025-10-10,1.163,1.172,-1.35
2025-10-13,1.1531,1.1621,-0.85
2025-10-14,1.138,1.147,-1.31
2025-10-15,1.147,1.156,0.79
2025-10-16,1.1447,1.1537,-0.2
2025-10-17,1.1211,1.1301,-2.06
2025-10-20,1.1247,1.1337,0.32
2025-10-21,1.1323,1.1413,0.68
2025-10-22,1.1288,1.1378,-0.31
2025-10-23,1.137,1.149,0.99
2025-10-24,1.1403,1.1523,0.29
2025-10-27,1.1531,1.1651,1.12
2025-10-28,1.1483,1.1603,-0.42
2025-10-29,1.1771,1.1891,2.51
2025-10-30,1.1653,1.1773,-1
2025-10-31,1.1626,1.1746,-0.23
2025-11-03,1.1613,1.1733,-0.11
2025-11-04,1.1463,1.1583,-1.29
2025-11-05,1.1501,1.1621,0.33
2025-11-06,1.1688,1.1808,1.63
2025-11-07,1.1707,1.1827,0.16
2025-11-10,1.1776,1.1896,0.59
2025-11-11,1.1723,1.1843,-0.45
2025-11-12,1.173,1.185,0.06
2025-11-13,1.1829,1.1949,0.84
2025-11-14,1.1658,1.1778,-1.45
2025-11-17,1.1514,1.1664,-0.98
2025-11-18,1.1408,1.1558,-0.92
2025-11-19,1.1443,1.1593,0.31
2025-11-20,1.1399,1.1549,-0.38
2025-11-21,1.1194,1.1344,-1.8
2025-11-24,1.122,1.137,0.23
2025-11-25,1.1316,1.1466,0.86
2025-11-26,1.1336,1.1486,0.18
2025-11-27,1.1334,1.1484,-0.02
2025-11-28,1.1392,1.1542,0.51
2025-12-01,1.1496,1.1646,0.91
2025-12-02,1.1388,1.1538,-0.94
2025-12-03,1.1419,1.1569,0.27
2025-12-04,1.1394,1.1544,-0.22
2025-12-05,1.157,1.172,1.54
2025-12-08,1.1506,1.1656,-0.55
2025-12-09,1.1342,1.1492,-1.43
2025-12-10,1.1413,1.1563,0.63
2025-12-11,1.1413,1.1563,0
2025-12-12,1.1515,1.1665,0.89
2025-12-15,1.1531,1.1711,0.4
2025-12-16,1.1392,1.1572,-1.21
2025-12-17,1.1606,1.1786,1.88
2025-12-18,1.1634,1.1814,0.24
2025-12-19,1.1701,1.1881,0.58
2025-12-22,1.1713,1.1893,0.1
2025-12-23,1.1778,1.1958,0.55
2025-12-24,1.1745,1.1925,-0.28
2025-12-25,1.1784,1.1964,0.33
2025-12-26,1.1859,1.2039,0.64
2025-12-29,1.1774,1.1954,-0.72
2025-12-30,1.1872,1.2052,0.83
2025-12-31,1.1865,1.2045,-0.06
2026-01-05,1.2146,1.2326,2.37
2026-01-06,1.2339,1.2519,1.59
2026-01-07,1.2323,1.2503,-0.13
2026-01-08,1.2224,1.2404,-0.8
2026-01-09,1.2384,1.2564,1.31
2026-01-12,1.2449,1.2629,0.52
2026-01-13,1.2501,1.2681,0.42
2026-01-14,1.2477,1.2657,-0.19
2026-01-15,1.2544,1.2724,0.54
2026-01-16,1.2412,1.2592,-1.05
2026-01-19,1.2548,1.2758,1.34
2026-01-20,1.2639,1.2849,0.73
2026-01-21,1.2729,1.2939,0.71
2026-01-22,1.2705,1.2915,-0.19
2026-01-23,1.2712,1.2922,0.06
2026-01-26,1.2935,1.3145,1.75
2026-01-27,1.2822,1.3032,-0.87
2026-01-28,1.3068,1.3278,1.92
2026-01-29,1.3252,1.3462,1.41
2026-01-30,1.2891,1.3101,-2.72
2026-02-02,1.2445,1.2655,-3.46
2026-02-03,1.2643,1.2853,1.59
2026-02-04,1.2813,1.3023,1.34
2026-02-05,1.2728,1.2938,-0.66
2026-02-06,1.2702,1.2912,-0.2
2026-02-09,1.2779,1.2989,0.61
2026-02-10,1.2787,1.2997,0.06
2026-02-11,1.2888,1.3098,0.79
2026-02-12,1.2842,1.3052,-0.36
2026-02-13,1.2605,1.2815,-1.85
2026-02-24,1.2729,1.2969,1.22
2026-02-25,1.2851,1.3091,0.96
2026-02-26,1.2754,1.2994,-0.75
2026-02-27,1.2824,1.3064,0.55
2026-03-02,1.2984,1.3224,1.25
2026-03-03,1.2731,1.2971,-1.95
2026-03-04,1.2638,1.2878,-0.73
2026-03-05,1.265,1.289,0.09
2026-03-06,1.2659,1.2899,0.07
2026-03-09,1.2651,1.2891,-0.06
2026-03-10,1.2709,1.2949,0.46
2026-03-11,1.285,1.309,1.11
2026-03-12,1.2894,1.3134,0.34
2026-03-13,1.2817,1.3057,-0.6
2026-03-16,1.2695,1.2965,-0.72
2026-03-17,1.2638,1.2908,-0.45
2026-03-18,1.2615,1.2885,-0.18
2026-03-19,1.2346,1.2616,-2.13
2026-03-20,1.2264,1.2534,-0.66
2026-03-23,1.1775,1.2045,-3.99
2026-03-24,1.1921,1.2191,1.24
2026-03-25,1.202,1.229,0.84
